web-scraper-order,web-scraper-start-url,property_type,property_type-href,property_name,prices,categories,commission,bedrooms,bathrooms,garage,amenities,address,area
1606921372-2582,https://meqasa.com/houses-for-rent-in-ghana?w=343,Read more,https://meqasa.com/apartment-for-rent-at-East-Legon-136234?y=872456723,3 bedroom apartment for rent at East Legon,"GH₵ 10,691","Apartment for Rent

Apartment for Rent in East Legon",null,3,3,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Dstv
Security service",East Legon,null
1606917345-2354,https://meqasa.com/houses-for-rent-in-ghana?w=365,Read more,https://meqasa.com/house-for-rent-at-Adjiringanor-138172?y=487004385,4 bedroom house for rent at Adjiringanor,"GH₵ 3,000","House for Rent

House for Rent in Adjiringanor",10.00%,4,4,5,"Air conditioning
Fans
Garage
Water reservoir",Adjiringanor,450 m2
1606914703-2133,https://meqasa.com/houses-for-rent-in-ghana?w=378,Read more,https://meqasa.com/townhouse-for-rent-at-Cantonments-009974?y=1973495269,3 bedroom furnished townhouse for rent at Cantonments,"GH₵ 19,036","Townhouse for Rent

Townhouse for Rent in Cantonments",10.00%,3,3,0,"Air conditioning
Internet
Garden
Generator",Cantonments,null
1606918366-2428,https://meqasa.com/houses-for-rent-in-ghana?w=360,Read more,https://meqasa.com/apartment-for-rent-at-North-Legon-135016?y=1586433937,3 bedroom apartment for rent at North Legon,"GH₵ 4,351","Apartment for Rent

Apartment for Rent in North Legon",10.00%,3,4,2,"Air conditioning
Fans
Garden
Garage
Roof terrace
Security service
Generator
Water reservoir",North Legon,60 m2
1606916763-2308,https://meqasa.com/houses-for-rent-in-ghana?w=367,Read more,https://meqasa.com/house-for-rent-at-Osu-121080?y=701246528,2 bedroom furnished house for rent at Osu,"GH₵ 7,071","House for Rent

House for Rent in Osu",10.00%,2,2,3,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Garden
Garage
Water reservoir",Osu,200 m2
1606916698-2302,https://meqasa.com/houses-for-rent-in-ghana?w=368,Read more,https://meqasa.com/apartment-for-rent-at-Cantonment-107729?y=1281855160,2 bedroom furnished apartment for rent at Cantonment,"GH₵ 13,597","Apartment for Rent

Apartment for Rent in Cantonment",10.00%,2,2,25,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Swimming pool
Security service
Generator
Water reservoir",Cantonment,250 m2
1606911616-1787,https://meqasa.com/houses-for-rent-in-ghana?w=400,Read more,https://meqasa.com/apartment-for-rent-at-East-Legon-070671?y=2059465780,3 bedroom apartment for rent at East Legon,"GH₵ 8,158","Apartment for Rent

Apartment for Rent in East Legon",10.00%,3,3,2,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",East Legon,900 m2
1606917035-2330,https://meqasa.com/houses-for-rent-in-ghana?w=366,Read more,https://meqasa.com/apartment-for-rent-at-Lakeside-145826?y=627162307,2 bedroom furnished apartment for rent at Lakeside,"GH₵ 4,500","Apartment for Rent

Apartment for Rent in Lakeside",10.00%,2,1,0,Water reservoir,Lakeside,null
1606919388-2487,https://meqasa.com/houses-for-rent-in-ghana?w=351,Read more,https://meqasa.com/apartment-for-rent-at-Ashongman-Estate--132361?y=1971999319,2 bedroom apartment for rent at Ashongman Estate,"GH₵ 1,200","Apartment for Rent

Apartment for Rent in Ashongman Estate",10.00%,2,3,8,"Air conditioning
Fans
Internet
Garden
Garage
Security service
Water reservoir",Ashongman Estate,"1,007 m2"
1606914372-2102,https://meqasa.com/houses-for-rent-in-ghana?w=380,Read more,https://meqasa.com/apartment-for-rent-at-Osu-018411?y=711616071,3 bedroom furnished apartment for rent at Osu,"GH₵ 19,036","Apartment for Rent

Apartment for Rent in Osu",10.00%,3,3,0,"Air conditioning
Microwave
Washing machine
Refrigerator
Cooker
Garage
Water reservoir
Generator",Osu,null
1606915895-2245,https://meqasa.com/houses-for-rent-in-ghana?w=371,Read more,https://meqasa.com/apartment-for-rent-at-Labone-001895?y=1111288186,4 bedroom apartment for rent at Labone,"GH₵ 27,195","Apartment for Rent

Apartment for Rent in Labone",10.00%,4,3,1,"Air conditioning
Balcony
Kitchen cabinets
Garage
Internet
Kitchen
Swimming pool",Labone,null
1606915918-2247,https://meqasa.com/houses-for-rent-in-ghana?w=371,Read more,https://meqasa.com/apartment-for-rent-at-Cantonments-001886?y=1111288186,2 bedroom furnished apartment for rent at Cantonments,"GH₵ 10,878","Apartment for Rent

Apartment for Rent in Cantonments",10.00%,2,1,2,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Roof terrace
Security service
Generator
Water reservoir",Cantonments,"1,000 m2"
1606919591-2504,https://meqasa.com/houses-for-rent-in-ghana?w=350,Read more,https://meqasa.com/house-for-rent-at-East-Legon-070158?y=1286646839,8 bedroom house for rent at East Legon,"GH₵ 38,072","House for Rent

House for Rent in East Legon",10.00%,8,8,10,"Air conditioning
Fans
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Security service
Water reservoir",East Legon,25 m2
1606920270-2541,https://meqasa.com/houses-for-rent-in-ghana?w=345,Read more,https://meqasa.com/townhouse-for-rent-at-East-null-135990?y=146040021,2 bedroom townhouse for rent at East null,"GH₵ 5,130","Townhouse for Rent

Townhouse for Rent in East null",10.00%,2,3,3,"Air conditioning
Cooker
Washing machine
Fans
Microwave
Garden
Swimming pool
Security service
Generator
Water reservoir",East null,900 m2
1606918187-2418,https://meqasa.com/houses-for-rent-in-ghana?w=361,Read more,https://meqasa.com/house-for-rent-at-Tsaddo-145985?y=1181868603,5 bedroom house for rent at Tsaddo,"GH₵ 10,878","House for Rent

House for Rent in Tsaddo",8.00%,5,5,0,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Security service
Generator
Water reservoir",Tsaddo,null
1606917902-2397,https://meqasa.com/houses-for-rent-in-ghana?w=362,Read more,https://meqasa.com/house-for-rent-at-null-Hills-139892?y=1033437940,4 bedroom house for rent at null Hills,"GH₵ 44,250","House for Rent

House for Rent in null Hills",1 month's rent,4,4,2,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Swimming pool
Security service
Generator
Water reservoir",null Hills,null
1606915755-2230,https://meqasa.com/houses-for-rent-in-ghana?w=372,Read more,https://meqasa.com/apartment-for-rent-at-Cantonments-016297?y=1021748157,2 bedroom apartment for rent at Cantonments,"GH₵ 16,317","Apartment for Rent

Apartment for Rent in Cantonments",10.00%,2,2,0,"Air conditioning
Microwave
Refrigerator
Fans
Cooker
Water reservoir",Cantonments,null
1606912207-1873,https://meqasa.com/houses-for-rent-in-ghana?w=395,Read more,https://meqasa.com/house-for-rent-at-Dzorwulu-064872?y=1579737913,5 bedroom house for rent at Dzorwulu,"GH₵ 32,633","House for Rent

House for Rent in Dzorwulu",10.00%,5,5,,"Ensuite
Closets
Air conditioning
Open car spaces
Secure parking
Swimming pool
Balcony
Outdoor entertaining area
Fully fenced",Dzorwulu,null
1606914993-2166,https://meqasa.com/houses-for-rent-in-ghana?w=376,Read more,https://meqasa.com/apartment-for-rent-at-East-Legon--088696?y=2004224722,2 bedroom furnished apartment for rent at East Legon,"GH₵ 6,799","Apartment for Rent

Apartment for Rent in East Legon",10.00%,2,2,2,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Roof terrace
Security service
Generator
Water reservoir",East Legon,120 m2
1606918452-2435,https://meqasa.com/houses-for-rent-in-ghana?w=360,Read more,https://meqasa.com/apartment-for-rent-at-Labone-145909?y=1586433937,2 bedroom furnished apartment for rent at Labone,"GH₵ 14,750","Apartment for Rent

Apartment for Rent in Labone",10.00%,2,3,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Internet
Dstv
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Labone,null
1606919009-2473,https://meqasa.com/houses-for-rent-in-ghana?w=357,Read more,https://meqasa.com/apartment-for-rent-at-Lakeside-138294?y=169486122,1 bedroom apartment for rent at Lakeside,"GH₵ 1,000","Apartment for Rent

Apartment for Rent in Lakeside",10.00%,1,1,1,Water reservoir,Lakeside,null
1606919057-2478,https://meqasa.com/houses-for-rent-in-ghana?w=357,Read more,"https://meqasa.com/house-for-rent-at-POKUASE-ACP(REG=GHC50,-SERVICE-CHARGE=10)-146208?y=169486122","2 bedroom house for rent at POKUASE ACP(REG=GHC50, SERVICE CHARGE=10%)","GH₵ 1,200","House for Rent

House for Rent in POKUASE ACP",10.00%,2,3,0,Water reservoir,POKUASE,"1,200 m2"
1606918587-2443,https://meqasa.com/houses-for-rent-in-ghana?w=359,Read more,https://meqasa.com/house-for-rent-at-Spintex-road--146104?y=2069510566,3 bedroom house for rent at Spintex road,"GH₵ 2,000","House for Rent

House for Rent in Spintex road",10.00%,3,3,3,Water reservoir,Spintex road,100 m2
1606911613-1786,https://meqasa.com/houses-for-rent-in-ghana?w=400,Read more,https://meqasa.com/townhouse-for-rent-at-Labone-070673?y=2059465780,3 bedroom townhouse for rent at Labone,"GH₵ 21,756","Townhouse for Rent

Townhouse for Rent in Labone",10.00%,3,3,3,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Security service
Generator
Water reservoir",Labone,900 m2
1606916506-2288,https://meqasa.com/houses-for-rent-in-ghana?w=369,Read more,https://meqasa.com/apartment-for-rent-at-Tse-Addo--134079?y=1102604498,1 bedroom apartment for rent at Tse-Addo,"GH₵ 1,200","Apartment for Rent

Apartment for Rent in Tse-Addo",10.00%,1,1,10,"Fans
Garden
Garage
Water reservoir",Tse-Addo,50 m2
1606914906-2158,https://meqasa.com/houses-for-rent-in-ghana?w=377,Read more,https://meqasa.com/apartment-for-rent-at-West-Legon-122965?y=445683576,2 bedroom apartment for rent at West Legon,"GH₵ 2,000","Apartment for Rent

Apartment for Rent in West Legon",10.00%,2,3,2,"Air conditioning
Cooker
Fans
Internet
Dstv
Roof terrace
Security service
Generator
Water reservoir",West Legon,700 m2
1606916703-2303,https://meqasa.com/houses-for-rent-in-ghana?w=368,Read more,https://meqasa.com/apartment-for-rent-at-North-Legon-070151?y=1281855160,2 bedroom apartment for rent at North Legon,"GH₵ 2,000","Apartment for Rent

Apartment for Rent in North Legon",10.00%,2,2,5,"Fans
Garden
Garage
Security service
Water reservoir",North Legon,20 m2
1606913775-2024,https://meqasa.com/houses-for-rent-in-ghana?w=385,Read more,https://meqasa.com/townhouse-for-rent-at-null--076818?y=1312970009,3 bedroom furnished townhouse for rent at null,"GH₵ 24,475","Townhouse for Rent

Townhouse for Rent in null Area",10.00%,3,4,5,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",null,"null

null in null Area"
1606919379-2486,https://meqasa.com/houses-for-rent-in-ghana?w=351,Read more,https://meqasa.com/house-for-rent-at-Ashale-Botwe-Lakeside--132362?y=1971999319,4 bedroom house for rent at Ashale-Botwe Lakeside,"GH₵ 3,000","House for Rent

House for Rent in Ashale-Botwe Lakeside",10.00%,4,5,6,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Garden
Garage
Water reservoir",Ashale-Botwe ,760 m2
1606912052-1846,https://meqasa.com/houses-for-rent-in-ghana?w=396,Read more,https://meqasa.com/house-for-rent-at-ivy-house-au-064986?y=1766754622,4 bedroom house for rent at ivy house-au,"GH₵ 27,195","House for Rent

House for Rent in Cantonments",10.00%,4,5,7,Water reservoir,ivy house-au,null
1606913373-1983,https://meqasa.com/houses-for-rent-in-ghana?w=388,Read more,"https://meqasa.com/apartment-for-rent-at-Tesano,-North-Kaneshie,-Greater-Accra-118706?y=1132655405","1 bedroom furnished apartment for rent at Tesano, North Kaneshie, Greater Accra","GH₵ 3,780","Apartment for Rent

Apartment for Rent in Tesano",10.00%,1,1,1,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Dstv
Garden
Security service
Water reservoir",Tesano,150 m2
1606912688-1911,https://meqasa.com/houses-for-rent-in-ghana?w=392,Read more,https://meqasa.com/apartment-for-rent-at-Ridge-Road-010424?y=842130138,3 bedroom furnished apartment for rent at Ridge Road,"GH₵ 35,353","Apartment for Rent

Apartment for Rent in Roman Ridge",10.00%,3,3,0,"Air conditioning
Microwave
Washing machine
Refrigerator
Fans
Cooker
Water reservoir
Generator",Ridge Road,null
1606914393-2105,https://meqasa.com/houses-for-rent-in-ghana?w=380,Read more,https://meqasa.com/apartment-for-rent-at-Osu-017679?y=711616071,1 bedroom furnished apartment for rent at Osu,GH₵ 816,"Apartment for Rent

Apartment for Rent in Osu",10.00%,1,1,0,"Air conditioning
Microwave
Washing machine
Refrigerator
Fans
Cooker
Garden
Garage
Water reservoir
Generator",Osu,null
1606919762-2511,https://meqasa.com/houses-for-rent-in-ghana?w=347,Read more,https://meqasa.com/apartment-for-rent-at-Osu-146565?y=487352773,1 bedroom furnished apartment for rent at Osu,"GH₵ 4,370","Apartment for Rent

Apartment for Rent in Osu",null,1,1,0,Air conditioning,Osu,null
1606914872-2153,https://meqasa.com/houses-for-rent-in-ghana?w=377,Read more,https://meqasa.com/apartment-for-rent-at-null-Area-000629?y=445683576,2 bedroom furnished apartment for rent at null Area,"GH₵ 13,597","Apartment for Rent

Apartment for Rent in null Area",10.00%,2,2,1,"Air conditioning
Dstv
Fans
Garage
Garden
Generator
Internet
Refrigerator
Roof terrace
Annexe (Boys' quarters)
Swimming pool
Water reservoir
Cooker
Washing machine
Microwave
Security service",null Area,null
1606914116-2073,https://meqasa.com/houses-for-rent-in-ghana?w=382,Read more,https://meqasa.com/apartment-for-rent-at-null-City-028696?y=1096053329,3 bedroom apartment for rent at null City,"GH₵ 21,756","Apartment for Rent

Apartment for Rent in null City",10.00%,3,3,0,"Air conditioning
Washing machine
Internet
Garden
Garage
Security service
Generator
Water reservoir",null City,null
1606914196-2085,https://meqasa.com/houses-for-rent-in-ghana?w=381,Read more,https://meqasa.com/house-for-rent-at-Cantonments-027152?y=236968613,4 bedroom house for rent at Cantonments,"GH₵ 19,036","House for Rent

House for Rent in Cantonments",10.00%,4,4,0,"Air conditioning
Cooker
Garden
Garage
Security service",Cantonments,null
1606914843-2149,https://meqasa.com/houses-for-rent-in-ghana?w=377,Read more,https://meqasa.com/apartment-for-rent-at-null-Area-001941?y=445683576,3 bedroom apartment for rent at null Area,"GH₵ 21,756","Apartment for Rent

Apartment for Rent in null Area",10.00%,3,2,,Water reservoir,null Area,null
1606911944-1829,https://meqasa.com/houses-for-rent-in-ghana?w=397,Read more,"https://meqasa.com/house-for-rent-at-Cantonments,-off-japan-embassy-065092?y=1277734873","4 bedroom house for rent at Cantonments, off japan embassy","GH₵ 16,317","House for Rent

House for Rent in Cantonments",10.00%,4,5,3,"Air conditioning
Internet
Dstv
Garage
Security service
Generator
Water reservoir",Cantonments,null
1606918418-2433,https://meqasa.com/houses-for-rent-in-ghana?w=360,Read more,https://meqasa.com/house-for-rent-at-East-Legon-090876?y=1586433937,6 bedroom house for rent at East Legon,"GH₵ 21,756","House for Rent

House for Rent in East Legon",10.00%,6,7,10,"Air conditioning
Cooker
Fans
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Water reservoir
Generator",East Legon,650 m2
1606920089-2530,https://meqasa.com/houses-for-rent-in-ghana?w=346,Read more,"https://meqasa.com/house-for-rent-at-ADJIRGANOR-SCH-JUNCTION--(REG=GHC50,SERVICE-CHARGE=1-MONTH-RENT--146634?y=1584205477","4 bedroom house for rent at ADJIRGANOR SCH JUNCTION  (REG=GHC50,SERVICE CHARGE=1 MONTH RENT","GH₵ 7,071","House for Rent

House for Rent in ADJIRGANOR SCH JUNCTION",10.00%,4,5,0,Annexe (Boys' quarters),ADJIRGANOR,"1,200 m2"
1606912511-1893,https://meqasa.com/houses-for-rent-in-ghana?w=393,Read more,https://meqasa.com/house-for-rent-at-null-Hills-027050?y=577881206,4 bedroom house for rent at null Hills,"GH₵ 27,195","House for Rent

House for Rent in null Hills",10.00%,4,5,0,"Air conditioning
Cooker
Garden
Garage
Annexe (Boys' quarters)
Water reservoir",null Hills,null
1606913914-2046,https://meqasa.com/houses-for-rent-in-ghana?w=384,Read more,"https://meqasa.com/house-for-rent-at-East-Legon,-nthc-estate-school-junction-Accra,-Ghana-072350?y=1426609285","3 bedroom house for rent at East Legon, nthc estate-school junction-Accra, Ghana","GH₵ 2,719","House for Rent

House for Rent in East Legon",10.00%,3,2,5,"Fans
Internet
Dstv
Garden
Garage
Security service
Water reservoir",East Legon,"1,000 m2"
1606912067-1849,https://meqasa.com/houses-for-rent-in-ghana?w=396,Read more,"https://meqasa.com/apartment-for-rent-at-Cantonments,-off-nafty-lane-kinght-place-064980?y=1766754622","3 bedroom apartment for rent at Cantonments, off nafty lane-kinght place","GH₵ 16,317","Apartment for Rent

Apartment for Rent in Cantonments",10.00%,3,3,3,"Air conditioning
Refrigerator
Internet
Dstv
Garage
Swimming pool
Security service
Generator
Water reservoir",Cantonments,60 m2
1606915545-2213,https://meqasa.com/houses-for-rent-in-ghana?w=373,Read more,"https://meqasa.com/house-for-rent-at-null,-off-dstv--kojo-lane-064864?y=766596786","4 bedroom house for rent at null, off dstv -kojo lane","GH₵ 19,036","House for Rent

House for Rent in null",10.00%,4,4,3,"Water reservoir
Internet
Air conditioning
Swimming pool
Garage
Security service",dstv lane,"1,000 m2"
1606912952-1941,https://meqasa.com/houses-for-rent-in-ghana?w=390,Read more,https://meqasa.com/apartment-for-rent-at-Banana-Inn-145420?y=1096242012,3 bedroom apartment for rent at Banana Inn,"GH₵ 1,500","Apartment for Rent

Apartment for Rent in Banana Inn",10.00%,3,1,0,Water reservoir,Banana Inn,null
1606920312-2544,https://meqasa.com/houses-for-rent-in-ghana?w=345,Read more,https://meqasa.com/house-for-rent-at-Lakeside-Estate-126884?y=146040021,2 bedroom house for rent at Lakeside Estate,"GH₵ 2,800","House for Rent

House for Rent in Lakeside Estate",10.00%,2,3,4,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Water reservoir",Lakeside Estate,null
1606912056-1847,https://meqasa.com/houses-for-rent-in-ghana?w=396,Read more,https://meqasa.com/house-for-rent-at-whelpool-house-064985?y=1766754622,4 bedroom house for rent at whelpool house,"GH₵ 32,633","House for Rent

House for Rent in Labone",10.00%,4,5,5,Water reservoir,whelpool house,null
1606912880-1930,https://meqasa.com/houses-for-rent-in-ghana?w=391,Read more,https://meqasa.com/house-for-rent-at-East-Legon--128971?y=1488013365,4 bedroom house for rent at East Legon,"GH₵ 3,500","House for Rent

House for Rent in East Legon",10.00%,4,3,6,"Internet
Dstv
Annexe (Boys' quarters)
Roof terrace
Security service
Water reservoir",East Legon,200 m2
1606917446-2361,https://meqasa.com/houses-for-rent-in-ghana?w=364,Read more,https://meqasa.com/apartment-for-rent-at-East-null-tsaado--145917?y=1566037273,2 bedroom apartment for rent at East null tsaado,"GH₵ 1,500","Apartment for Rent

Apartment for Rent in East null tsaado",10.00%,2,3,3,"Air conditioning
Fans
Garden
Water reservoir",East null tsaado,25 m2
1606915530-2212,https://meqasa.com/houses-for-rent-in-ghana?w=373,Read more,https://meqasa.com/apartment-for-rent-at-Cantonments-064966?y=766596786,3 bedroom furnished apartment for rent at Cantonments,"GH₵ 16,317","Apartment for Rent

Apartment for Rent in Cantonments",10.00%,3,3,3,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Cantonments,900 m2
1606915280-2192,https://meqasa.com/houses-for-rent-in-ghana?w=375,Read more,https://meqasa.com/apartment-for-rent-at-null-West-144507?y=2080258251,2 bedroom furnished apartment for rent at null West,"GH₵ 13,409","Apartment for Rent

Apartment for Rent in null West",1 month's rent,2,2,1,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Swimming pool
Security service
Generator
Water reservoir",null West,null
1606912792-1922,https://meqasa.com/houses-for-rent-in-ghana?w=392,Read more,https://meqasa.com/house-for-rent-at-Labone-130479?y=842130138,2 bedroom furnished house for rent at Labone,"GH₵ 13,000","House for Rent

House for Rent in Labone",10.00%,2,2,5,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Security service
Generator
Water reservoir",Labone,400 m2
1606912764-1918,https://meqasa.com/houses-for-rent-in-ghana?w=392,Read more,https://meqasa.com/house-for-rent-at-Labone-130484?y=842130138,5 bedroom house for rent at Labone,"GH₵ 11,000","House for Rent

House for Rent in Labone",10.00%,5,4,8,"Air conditioning
Fans
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Security service
Water reservoir",Labone,700 m2
1606917643-2376,https://meqasa.com/houses-for-rent-in-ghana?w=363,Read more,https://meqasa.com/house-for-rent-at-East-Legon-$3000-130780?y=1427077544,5 bedroom house for rent at East Legon $3000,"GH₵ 17,100","House for Rent

House for Rent in East Legon",10.00%,5,6,10,"Air conditioning
Cooker
Microwave
Internet
Dstv
Garage
Annexe (Boys' quarters)
Roof terrace
Security service
Generator",East Legon,600 m2
1606912862-1927,https://meqasa.com/houses-for-rent-in-ghana?w=391,Read more,https://meqasa.com/apartment-for-rent-at-Spintex-129160?y=1488013365,3 bedroom furnished apartment for rent at Spintex,"GH₵ 4,500","Apartment for Rent

Apartment for Rent in Spintex",10.00%,3,2,3,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Spintex,900 m2
1606911979-1836,https://meqasa.com/houses-for-rent-in-ghana?w=397,Read more,https://meqasa.com/apartment-for-rent-at-beach-lane-065072?y=1277734873,1 bedroom apartment for rent at beach lane,"GH₵ 11,422","Apartment for Rent

Apartment for Rent in Osu",10.00%,1,1,3,Air Conditioning,beach lane,70 m2
1606913920-2047,https://meqasa.com/houses-for-rent-in-ghana?w=384,Read more,"https://meqasa.com/house-for-rent-at-East-Legon,-nthc-estate-school-junction-Accra,-Ghana-072349?y=1426609285","3 bedroom house for rent at East Legon, nthc estate-school junction-Accra, Ghana","GH₵ 4,351","House for Rent

House for Rent in East Legon",10.00%,3,1,6,Air Conditioning,East Legon,"1,200 m2"
1606914747-2140,https://meqasa.com/houses-for-rent-in-ghana?w=378,Read more,https://meqasa.com/house-for-rent-at-Cantonments-002027?y=1973495269,4 bedroom house for rent at Cantonments,"GH₵ 32,633","House for Rent

House for Rent in Cantonments",10.00%,4,4,1,Air Conditioning,Cantonments,null
1606917093-2336,https://meqasa.com/houses-for-rent-in-ghana?w=366,Read more,"https://meqasa.com/townhouse-for-rent-at-Labone,-near-Cantonment-145880?y=627162307","4 bedroom furnished townhouse for rent at Labone, near Cantonment","GH₵ 27,195","Townhouse for Rent

Townhouse for Rent in Labone",10.00%,4,4,0,Air Conditioning,Labone,null
1606920343-2545,https://meqasa.com/houses-for-rent-in-ghana?w=345,Read more,https://meqasa.com/apartment-for-rent-at-Madina--126433?y=146040021,2 bedroom apartment for rent at Madina,"GH₵ 2,500","Apartment for Rent

Apartment for Rent in Madina",10.00%,2,3,2,Air Conditioning,Madina,750 m2
1606915618-2220,https://meqasa.com/houses-for-rent-in-ghana?w=373,Read more,https://meqasa.com/house-for-rent-at-Cantonments-016890?y=766596786,4 bedroom house for rent at Cantonments,"GH₵ 32,633","House for Rent

House for Rent in Cantonments",10.00%,4,4,0,Air Conditioning,Cantonments,null
1606919897-2521,https://meqasa.com/houses-for-rent-in-ghana?w=347,Read more,https://meqasa.com/house-for-rent-at-Tesano-124563?y=487352773,2 bedroom furnished house for rent at Tesano,"GH₵ 8,260","House for Rent

House for Rent in Tesano",1 month's rent,2,2,0,Air Conditioning,Tesano,null
1606916043-2256,https://meqasa.com/houses-for-rent-in-ghana?w=371,Read more,https://meqasa.com/apartment-for-rent-at-dome-145706?y=1111288186,3 bedroom apartment for rent at dome,"GH₵ 3,500","Apartment for Rent

Apartment for Rent in dome",10.00%,3,3,0,Air Conditioning,dome,345 m2
1606912948-1940,https://meqasa.com/houses-for-rent-in-ghana?w=390,Read more,https://meqasa.com/house-for-rent-at-Ridge-098578?y=1096242012,4 bedroom house for rent at Ridge,"GH₵ 24,475","House for Rent

House for Rent in Ridge",10.00%,4,4,4,Air Conditioning,Ridge,700 m2
1606913305-1978,https://meqasa.com/houses-for-rent-in-ghana?w=388,Read more,https://meqasa.com/house-for-rent-at-East-Legon-Hills-145532?y=1132655405,3 bedroom house for rent at East Legon Hills,"GH₵ 3,000","House for Rent

House for Rent in East Legon Hills",10.00%,3,4,6,Air Conditioning,East Legon Hills,"1,000 m2"
1606918493-2436,https://meqasa.com/houses-for-rent-in-ghana?w=359,Read more,https://meqasa.com/apartment-for-rent-at-Community-5-146008?y=2069510566,2 bedroom apartment for rent at Community 5,"GH₵ 3,535","Apartment for Rent

Apartment for Rent in Community 5",10.00%,2,3,2,Air Conditioning,Community ,26 m2
1606915130-2178,https://meqasa.com/houses-for-rent-in-ghana?w=376,Read more,https://meqasa.com/house-for-rent-at-cantoments-085867?y=2004224722,4 bedroom house for rent at cantoments,"GH₵ 29,914","House for Rent

House for Rent in Cantoments",10.00%,4,5,10,Air Conditioning,cantoments,200 m2
1606913682-2017,https://meqasa.com/houses-for-rent-in-ghana?w=386,Read more,https://meqasa.com/townhouse-for-rent-at-null--077206?y=1151976411,4 bedroom furnished townhouse for rent at null,"GH₵ 21,756","Townhouse for Rent

Townhouse for Rent in null Area",10.00%,4,5,5,Air Conditioning,null,"null

null in null Area"
1606918612-2445,https://meqasa.com/houses-for-rent-in-ghana?w=359,Read more,https://meqasa.com/house-for-rent-at-Abelemkpe-146117?y=2069510566,4 bedroom house for rent at Abelemkpe,"GH₵ 8,700","House for Rent

House for Rent in Abelemkpe",10.00%,4,1,0,Air Conditioning,Abelemkpe,null
1606913342-1980,https://meqasa.com/houses-for-rent-in-ghana?w=388,Read more,"https://meqasa.com/apartment-for-rent-at-Santasi,-Kumasi-141349?y=1132655405","2 bedroom apartment for rent at Santasi, Kumasi",GH₵ 600,"Apartment for Rent

Apartment for Rent in Santasi",10.00%,2,2,0,"Fans
Water reservoir",Santasi,null
1606915595-2217,https://meqasa.com/houses-for-rent-in-ghana?w=373,Read more,"https://meqasa.com/house-for-rent-at-Regimanuel-Grey-Estates,-Sakumuno-027076?y=766596786","4 bedroom house for rent at Regimanuel Grey Estates, Sakumuno","GH₵ 6,000","House for Rent

House for Rent in Sakumono",10.00%,4,4,0,"Air conditioning
Garden
Garage
Swimming pool
Security service
Water reservoir",Sakumuno,null
1606917452-2362,https://meqasa.com/houses-for-rent-in-ghana?w=364,Read more,https://meqasa.com/apartment-for-rent-at-East-null-tsaado--145918?y=1566037273,2 bedroom apartment for rent at East null tsaado,"GH₵ 1,800","Apartment for Rent

Apartment for Rent in East null tsaado",10.00%,2,3,2,"Air conditioning
Fans
Water reservoir",East tsaado,25 m2
